network,station_code,label,active,lon,lat,elevation,station_type
IMIS,FUL2,Grand Cor,True,7.089661,46.194684,2602,SNOW_FLAT
IMIS,FUS2,Alpe di Röd,True,8.620446,46.436421,2390,SNOW_FLAT
IMIS,GAD2,Gschletteregg,True,8.397488,46.744189,2063,SNOW_FLAT
IMIS,GAL1,"Galmihorn, Windstation",False,8.226594,46.488058,2466,WIND
IMIS,GAL2,"Galmihorn, Schneestation",False,8.228563,46.489124,2430,SNOW_FLAT
IMIS,GAN1,Sackhorn,True,7.766250,46.439679,3193,WIND
IMIS,GAN2,Gandegg,True,7.760606,46.429261,2710,SNOW_FLAT
IMIS,GLA1,Schwander Grat,False,8.998719,46.998721,2909,WIND
IMIS,GLA2,Guppen,True,9.037582,46.996629,1632,SNOW_FLAT
IMIS,GOM1,Chummehorn,True,8.242044,46.421460,2728,WIND
IMIS,GOM2,Bodmerchumma,True,8.232494,46.420456,2439,SNOW_FLAT
IMIS,GOM3,Treichbode,True,8.228550,46.489142,2427,SNOW_FLAT
IMIS,GOR2,Gornergratsee,True,7.783599,45.987192,2953,SNOW_FLAT
IMIS,GOS2,Rientallücke,True,8.631772,46.673265,2325,SNOW_FLAT
IMIS,GOS3,Gütsch,True,8.606967,46.656420,2209,SNOW_FLAT
IMIS,GRA1,Jumelles,True,6.813629,46.352251,2210,WIND
IMIS,GRA2,Loz,True,6.783550,46.346062,1984,SNOW_FLAT
IMIS,GUG2,Teststation Gugla,False,7.820231,46.142311,2832,SNOW_FLAT
IMIS,GUT1,Bänzlauistock,True,8.277976,46.692522,2528,WIND
IMIS,GUT2,Homad,True,8.289691,46.679310,2115,SNOW_FLAT
IMIS,GUT3,Scheene Biel,False,8.307506,46.672788,2200,SNOW_FLAT
IMIS,HIN1,Hinterrugg,True,9.304818,47.153330,2306,WIND
IMIS,HTR1,Chilchalphorn,True,9.154144,46.533351,3040,WIND
IMIS,HTR2,Alp Piänetsch,True,9.204335,46.544379,2147,SNOW_FLAT
IMIS,HTR3,Unter Surettasee,True,9.348527,46.536550,2200,SNOW_FLAT
IMIS,ILI1,Pointe des Mossettes,True,6.816213,46.190573,2276,WIND
IMIS,ILI2,Les Collines,True,6.827797,46.191356,2022,SNOW_FLAT
IMIS,JAU1,Chörblispitz,True,7.268950,46.629685,2103,WIND
IMIS,JAU2,Fochsen,True,7.274541,46.633049,1707,SNOW_FLAT
IMIS,JUL1,Piz Bardella,True,9.702893,46.482336,2838,WIND
IMIS,JUL2,Vairana,True,9.692311,46.478497,2426,SNOW_FLAT
IMIS,KES1,Piz Val Müra,True,9.900665,46.628259,3152,WIND
IMIS,KES2,Porta d'Es-cha,True,9.898139,46.621284,2727,SNOW_FLAT
IMIS,KLO1,Sant Jaggem,True,9.868491,46.920811,2542,WIND
IMIS,KLO2,Madrisa,True,9.873859,46.909115,2147,SNOW_FLAT
IMIS,KLO3,Gatschiefer,True,9.931672,46.841271,2299,SNOW_FLAT
IMIS,KLT1,Wiggis,True,9.025385,47.065310,2282,WIND
